Iteration 1: c = x, s = esrss, state = 0
Iteration 2: c = ), s = steer, state = 0
Iteration 3: c = }, s = terer, state = 0
Iteration 4: c = [, s = etsst, state = 0
Iteration 5: c = (, s = esrtr, state = 1
Iteration 6: c = x, s = tsrtr, state = 2
Iteration 7: c = [, s = sssrr, state = 2
Iteration 8: c =  , s = etter, state = 2
Iteration 9: c = (, s = tetst, state = 2
Iteration 10: c = x, s = errer, state = 2
Iteration 11: c = ], s = tttts, state = 2
Iteration 12: c = x, s = srerr, state = 2
Iteration 13: c = [, s = seees, state = 2
Iteration 14: c = ), s = estrr, state = 2
Iteration 15: c = [, s = setss, state = 2
Iteration 16: c = x, s = tssse, state = 2
Iteration 17: c = x, s = etrtt, state = 2
Iteration 18: c =  , s = reset, state = 2
Iteration 19: c =  , s = trtsr, state = 2
Iteration 20: c = {, s = rsrtr, state = 2
Iteration 21: c = ], s = srrrs, state = 3
Iteration 22: c = [, s = rreet, state = 3
Iteration 23: c = ), s = stsre, state = 3
Iteration 24: c = x, s = erers, state = 3
Iteration 25: c = ), s = tstts, state = 3
Iteration 26: c = a, s = srrse, state = 3
Iteration 27: c = x, s = resss, state = 3
Iteration 28: c = a, s = treee, state = 3
Iteration 29: c = }, s = tssrt, state = 3
Iteration 30: c = ], s = ssses, state = 3
Iteration 31: c = (, s = erees, state = 3
Iteration 32: c = a, s = rttse, state = 3
Iteration 33: c = ], s = rrsee, state = 3
Iteration 34: c = {, s = trsee, state = 3
Iteration 35: c = ], s = etttr, state = 3
Iteration 36: c = (, s = rseet, state = 3
Iteration 37: c =  , s = tttss, state = 3
Iteration 38: c = [, s = rsrtt, state = 4
Iteration 39: c = [, s = sssrt, state = 4
Iteration 40: c = [, s = erset, state = 4
Iteration 41: c = [, s = strrr, state = 4
Iteration 42: c = }, s = rttts, state = 4
Iteration 43: c = [, s = tstte, state = 4
Iteration 44: c = ], s = rrrsr, state = 4
Iteration 45: c =  , s = esttt, state = 4
Iteration 46: c = x, s = sesse, state = 4
Iteration 47: c = {, s = sessr, state = 4
Iteration 48: c = {, s = tttts, state = 4
Iteration 49: c = x, s = etrse, state = 4
Iteration 50: c = ), s = ettes, state = 4
Iteration 51: c = x, s = rrtst, state = 4
Iteration 52: c = (, s = eesrt, state = 4
Iteration 53: c = [, s = rtsts, state = 4
Iteration 54: c = x, s = rtrre, state = 4
Iteration 55: c = ), s = etrrr, state = 4
Iteration 56: c = [, s = srtss, state = 4
Iteration 57: c = {, s = trrer, state = 4
Iteration 58: c =  , s = rrstr, state = 4
Iteration 59: c = a, s = rrrrr, state = 4
Iteration 60: c = [, s = esrss, state = 5
Iteration 61: c = {, s = eerrt, state = 5
Iteration 62: c =  , s = tsttt, state = 5
Iteration 63: c = {, s = srtet, state = 5
Iteration 64: c = ], s = ettet, state = 5
Iteration 65: c =  , s = trsts, state = 5
Iteration 66: c = }, s = rterr, state = 5
Iteration 67: c = (, s = ttsss, state = 5
Iteration 68: c =  , s = ersee, state = 5
Iteration 69: c = x, s = rtrrr, state = 5
Iteration 70: c = ), s = rttst, state = 6
Iteration 71: c = [, s = stert, state = 6
Iteration 72: c = }, s = rtrte, state = 6
Iteration 73: c = (, s = etttr, state = 7
Iteration 74: c = x, s = rrtrr, state = 7
Iteration 75: c = }, s = trtss, state = 7
Iteration 76: c = a, s = reese, state = 7
Iteration 77: c = a, s = terrr, state = 7
Iteration 78: c = ], s = serer, state = 7
Iteration 79: c =  , s = sreer, state = 7
Iteration 80: c = (, s = etses, state = 7
Iteration 81: c = x, s = tseer, state = 7
Iteration 82: c = (, s = srrsr, state = 7
Iteration 83: c =  , s = tssrr, state = 7
Iteration 84: c = [, s = rstet, state = 7
Iteration 85: c = ), s = tetes, state = 7
Iteration 86: c = {, s = eetts, state = 8
Iteration 87: c = ], s = erres, state = 8
Iteration 88: c = x, s = sssrs, state = 9
Iteration 89: c = (, s = ssrer, state = 9
Iteration 90: c = x, s = eterr, state = 9
Iteration 91: c = }, s = eerrr, state = 9
Iteration 92: c = {, s = rstrt, state = 9
Iteration 93: c = [, s = rerte, state = 9
Iteration 94: c = ], s = errse, state = 9
Iteration 95: c = {, s = sstts, state = 9
Iteration 96: c = ], s = stesr, state = 9
Iteration 97: c = [, s = ertee, state = 9
Iteration 98: c = x, s = tertr, state = 9
Iteration 99: c = x, s = esser, state = 9
Iteration 100: c = x, s = sssee, state = 9
Iteration 101: c = a, s = etrse, state = 9
Iteration 102: c = ), s = ttrtr, state = 9
Iteration 103: c = x, s = sttss, state = 9
Iteration 104: c = ], s = rtesr, state = 9
Iteration 105: c = x, s = sstrr, state = 9
Iteration 106: c = ], s = retrt, state = 9
Iteration 107: c = ), s = rsree, state = 9
Iteration 108: c = (, s = sttes, state = 9
Iteration 109: c = [, s = esrse, state = 9
Iteration 110: c = x, s = rtttt, state = 9
Iteration 111: c = ], s = rtrtr, state = 9
Iteration 112: c = [, s = rrere, state = 9
Iteration 113: c = (, s = rrste, state = 9
Iteration 114: c =  , s = rstre, state = 9
Iteration 115: c = x, s = eetrr, state = 9
Iteration 116: c = }, s = tretr, state = 9
Iteration 117: c = {, s = srste, state = 9
Iteration 118: c = a, s = setee, state = 9
Iteration 119: c = a, s = eetrs, state = 9
Iteration 120: c =  , s = rtett, state = 9
Iteration 121: c = {, s = esste, state = 9
Iteration 122: c = ), s = rttss, state = 9
Iteration 123: c =  , s = seees, state = 9
Iteration 124: c = ], s = strsr, state = 9
Iteration 125: c =  , s = srerr, state = 9
Iteration 126: c =  , s = sesrr, state = 9
Iteration 127: c = ), s = tesst, state = 9
Iteration 128: c = ), s = seett, state = 9
Iteration 129: c = a, s = setst, state = 9
Iteration 130: c = x, s = rstes, state = 9
Iteration 131: c = a, s = eretr, state = 9
Iteration 132: c = ), s = stsre, state = 9
Iteration 133: c = }, s = rttst, state = 9
Iteration 134: c = }, s = eerrt, state = 9
Iteration 135: c = a, s = ttetr, state = 9
Iteration 136: c = (, s = settr, state = 9
Iteration 137: c = ], s = estts, state = 9
Iteration 138: c = ), s = esrer, state = 9
Iteration 139: c = }, s = tsrts, state = 9
Iteration 140: c =  , s = tssre, state = 9
Iteration 141: c =  , s = rtttt, state = 9
Iteration 142: c = }, s = trett, state = 9
Iteration 143: c = x, s = resrs, state = 9
Iteration 144: c = {, s = rerre, state = 9
Iteration 145: c = (, s = rresr, state = 9
Iteration 146: c = {, s = ererr, state = 9
Iteration 147: c = [, s = rtres, state = 9
Iteration 148: c = ], s = esett, state = 9
Iteration 149: c = [, s = etrst, state = 9
Iteration 150: c = ), s = etess, state = 9
Iteration 151: c = [, s = rtset, state = 9
Iteration 152: c = x, s = stsse, state = 9
Iteration 153: c = (, s = sstte, state = 9
Iteration 154: c = (, s = ssetr, state = 9
Iteration 155: c = a, s = rerst, state = 9
Iteration 156: c = x, s = rtese, state = 9
Iteration 157: c = }, s = etrte, state = 9
Iteration 158: c = x, s = trtst, state = 9
Iteration 159: c =  , s = rssee, state = 9
Iteration 160: c = ), s = serst, state = 9
Iteration 161: c = }, s = rttes, state = 9
Iteration 162: c = a, s = ettes, state = 9
Iteration 163: c = {, s = seeer, state = 9
Iteration 164: c = x, s = ersrs, state = 9
Iteration 165: c = ), s = trets, state = 9
Iteration 166: c = [, s = tsrtt, state = 9
Iteration 167: c = [, s = trets, state = 9
Iteration 168: c = ], s = rrres, state = 9
Iteration 169: c = {, s = etert, state = 9
Iteration 170: c = x, s = tstrs, state = 9
Iteration 171: c = ], s = eeter, state = 9
Iteration 172: c =  , s = trsrt, state = 9
Iteration 173: c = }, s = ttetr, state = 9
Iteration 174: c = ], s = resee, state = 9
Iteration 175: c = [, s = rerte, state = 9
Iteration 176: c = (, s = rsrtt, state = 9
Iteration 177: c = a, s = esrts, state = 9
Iteration 178: c =  , s = resee, state = 9
Iteration 179: c = ], s = rerss, state = 9
Iteration 180: c = {, s = rssee, state = 9
Iteration 181: c =  , s = testr, state = 9
Iteration 182: c = x, s = rerrr, state = 9
Iteration 183: c =  , s = rrrse, state = 9
Iteration 184: c = }, s = eeser, state = 9
Iteration 185: c = }, s = srsee, state = 9
Iteration 186: c = x, s = eertr, state = 9
Iteration 187: c = ), s = erese, state = 9
Iteration 188: c =  , s = eeset, state = 9
Iteration 189: c = (, s = treee, state = 9
Iteration 190: c = ), s = srsre, state = 9
Iteration 191: c = (, s = rsrre, state = 9
Iteration 192: c = (, s = etese, state = 9
Iteration 193: c = {, s = rsttt, state = 9
Iteration 194: c = ], s = tstrr, state = 9
Iteration 195: c = x, s = ssers, state = 9
Iteration 196: c = (, s = tsrrt, state = 9
Iteration 197: c = [, s = errss, state = 9
